raw,filtered,baseline,delta,event,coin_in,state
36183,35873,35879,-6,0,0,1
35766,35862,35879,-17,0,0,1
35865,35863,35879,-16,0,0,1
35905,35867,35879,-12,0,0,1
35805,35861,35879,-18,0,0,1
35805,35855,35879,-24,0,0,1
35766,35846,35878,-32,0,0,1
35845,35846,35878,-32,0,0,1
35805,35842,35878,-36,0,0,1
35805,35838,35878,-40,0,0,1
35805,35835,35878,-43,0,0,1
35766,35828,35878,-50,0,0,1
35706,35816,35877,-62,0,0,1
36361,35870,35878,-8,0,0,1
35885,35872,35878,-7,0,0,1
35805,35865,35878,-13,0,0,1
35805,35859,35878,-19,0,0,1
35746,35848,35878,-30,0,0,1
35805,35844,35878,-34,0,0,1
35805,35840,35878,-38,0,0,1
35805,35836,35877,-41,0,0,1
35865,35839,35877,-38,0,0,1
35865,35842,35877,-36,0,0,1
35885,35846,35877,-31,0,0,1
35805,35842,35877,-35,0,0,1
36361,35894,35878,16,0,0,1
35805,35885,35878,7,0,0,1
35905,35887,35878,9,0,0,1
35805,35879,35878,1,0,0,1
35805,35871,35878,-6,0,0,1
35746,35859,35878,-19,0,0,1
35746,35848,35877,-30,0,0,1
35805,35843,35877,-34,0,0,1
35885,35847,35877,-30,0,0,1
35845,35847,35877,-30,0,0,1
35805,35843,35877,-34,0,0,1
35805,35839,35877,-38,0,0,1
36302,35885,35878,8,0,0,1
35944,35891,35878,13,0,0,1
35805,35883,35878,5,0,0,1
35865,35881,35878,3,0,0,1
35706,35863,35877,-14,0,0,1
35885,35866,35877,-12,0,0,1
35905,35870,35877,-8,0,0,1
35925,35875,35878,-2,0,0,1
35845,35872,35878,-5,0,0,1
35746,35859,35877,-18,0,0,1
35746,35848,35877,-29,0,0,1
35885,35852,35877,-25,0,0,1
36242,35891,35878,13,0,0,1
35805,35882,35878,5,0,0,1
35805,35875,35877,-3,0,0,1
35805,35868,35877,-10,0,0,1
35746,35855,35877,-22,0,0,1
35845,35854,35877,-23,0,0,1
35925,35861,35877,-16,0,0,1
35885,35864,35877,-13,0,0,1
35845,35862,35877,-15,0,0,1
35885,35864,35877,-13,0,0,1
35805,35858,35877,-19,0,0,1
35766,35849,35877,-28,0,0,1
36262,35890,35878,13,0,0,1
35865,35888,35877,10,0,0,1
35766,35876,35877,-2,0,0,1
35805,35869,35877,-9,0,0,1
35865,35868,35877,-9,0,0,1
35805,35862,35877,-15,0,0,1
35746,35850,35877,-26,0,0,1
35746,35840,35876,-37,0,0,1
35805,35836,35876,-40,0,0,1
35845,35837,35876,-39,0,0,1
35964,35850,35876,-26,0,0,1
35905,35855,35876,-21,0,0,1
36302,35900,35877,23,0,0,1
35845,35895,35877,17,0,0,1
35805,35886,35877,9,0,0,1
35925,35890,35877,12,0,0,1
35865,35887,35877,10,0,0,1
35845,35883,35877,6,0,0,1
35805,35875,35877,-2,0,0,1
35845,35872,35877,-5,0,0,1
35746,35859,35877,-17,0,0,1
35885,35862,35877,-15,0,0,1
35805,35856,35877,-20,0,0,1
35805,35851,35876,-25,0,0,1
36361,35902,35877,25,0,0,1
35944,35906,35878,29,0,0,1
36044,35920,35878,42,0,0,1
35746,35903,35878,25,0,0,1
35885,35901,35878,23,0,0,1
35805,35891,35878,14,0,0,1
35885,35891,35878,13,0,0,1
35746,35876,35877,-1,0,0,1
35805,35869,35877,-8,0,0,1
35845,35867,35877,-10,0,0,1
35766,35857,35877,-20,0,0,1
35964,35867,35877,-10,0,0,1
36342,35915,35878,37,0,0,1
35805,35904,35878,26,0,0,1
35845,35898,35878,20,0,0,1
35766,35885,35878,7,0,0,1
35865,35883,35878,5,0,0,1
35805,35875,35877,-2,0,0,1
35766,35864,35877,-13,0,0,1
35805,35858,35877,-19,0,0,1
35746,35847,35877,-30,0,0,1
35805,35843,35877,-34,0,0,1
35766,35835,35876,-41,0,0,1
35984,35850,35877,-27,0,0,1
36262,35891,35877,14,0,0,1
35845,35887,35877,9,0,0,1
35865,35884,35877,7,0,0,1
35766,35873,35877,-5,0,0,1
35845,35870,35877,-7,0,0,1
35845,35867,35877,-10,0,0,1
35766,35857,35877,-20,0,0,1
35766,35848,35877,-29,0,0,1
35845,35848,35877,-29,0,0,1
35766,35840,35876,-37,0,0,1
35805,35836,35876,-40,0,0,1
35805,35833,35876,-43,0,0,1
36361,35886,35877,9,0,0,1
35905,35888,35877,11,0,0,1
35885,35887,35877,10,0,0,1
35805,35879,35877,2,0,0,1
35885,35880,35877,3,0,0,1
35944,35886,35877,9,0,0,1
35805,35878,35877,1,0,0,1
35805,35871,35877,-6,0,0,1
35865,35870,35877,-7,0,0,1
35845,35868,35877,-9,0,0,1
35766,35857,35876,-19,0,0,1
35845,35856,35876,-20,0,0,1
36361,35907,35877,29,0,0,1
35865,35903,35877,25,0,0,1
35845,35897,35877,19,0,0,1
35706,35878,35877,1,0,0,1
35746,35865,35877,-12,0,0,1
35805,35859,35877,-18,0,0,1
35845,35857,35877,-19,0,0,1
35805,35852,35876,-24,0,0,1
35805,35847,35876,-29,0,0,1
35746,35837,35876,-39,0,0,1
35746,35828,35876,-48,0,0,1
35766,35822,35876,-54,0,0,1
36262,35866,35876,-10,0,0,1
35885,35868,35876,-9,0,0,1
35746,35856,35876,-20,0,0,1
35805,35851,35876,-25,0,0,1
35746,35840,35876,-36,0,0,1
35805,35837,35876,-39,0,0,1
35805,35833,35875,-42,0,0,1
35805,35831,35875,-45,0,0,1
35805,35828,35875,-47,0,0,1
35845,35830,35875,-45,0,0,1
35706,35817,35875,-57,0,0,1
35706,35806,35874,-68,0,0,1
36222,35848,35875,-27,0,0,1
35885,35852,35875,-24,0,0,1
35805,35847,35875,-28,0,0,1
35666,35829,35875,-46,0,0,1
35805,35826,35874,-48,0,0,1
35627,35806,35874,-67,0,0,1
35746,35800,35874,-73,0,0,1
35885,35809,35874,-65,0,0,1
